"id";"kind";"numfuses"
44794;"sing";2
45083;"sing";3
45918;"sing";1
46213;"sing";16
46270;"sing";8
46550;"sing";8
52236;"sing";9
54236;"sing";17
55307;"sing";3
56977;"sing";2
57028;"sing";2
57517;"sing";1
60549;"sing";2
60766;"sing";1
60989;"sing";10
62097;"sing";2
64236;"sing";2
64675;"sing";1
65693;"sing";1
66298;"sing";5
66350;"sing";1
66575;"sing";1
66803;"sing";7
66891;"sing";7
69914;"sing";1
73291;"sing";2
76333;"sing";6
76733;"sing";52
77393;"sing";1
78114;"sing";20
79625;"sing";2
81261;"sing";2
82316;"sing";1
83258;"sing";1
84514;"sing";3
85504;"sing";1
85700;"sing";9
85993;"sing";1
86633;"sing";4
87266;"sing";1
87329;"sing";6
87424;"sing";28
87693;"sing";2
87738;"sing";1
88615;"sing";11
88683;"sing";12
88941;"sing";168
89480;"sing";3
92304;"sing";1
92554;"sing";2
92983;"sing";5
93602;"sing";1
94828;"sing";1
95364;"sing";2
95494;"sing";2
96319;"sing";20
97047;"sing";6
99668;"sing";3
100047;"sing";7
100843;"sing";1
100999;"sing";1
102991;"sing";1
103024;"sing";23
103443;"sing";8
104902;"sing";1
105313;"sing";1
106476;"sing";2
106636;"sing";2
107171;"sing";8
107871;"sing";2
108640;"sing";3
108722;"sing";1
109845;"sing";1
110543;"sing";7
111628;"sing";14
111687;"sing";3
117393;"sing";9
117559;"sing";21
118036;"sing";20
119056;"sing";2
120440;"sing";2
121996;"sing";2
124249;"sing";1
124895;"sing";2
126118;"sing";4
126185;"sing";5
126361;"sing";7
126493;"sing";1
126664;"sing";2
127314;"sing";2
128745;"sing";1
128876;"sing";2
130675;"sing";2
131834;"sing";6
135030;"sing";40
137828;"sing";2
139206;"sing";1
139516;"sing";3
140307;"sing";2
140525;"sing";19
143414;"sing";1
143567;"sing";2
144009;"sing";4
145648;"sing";1
146740;"sing";5
147248;"sing";1
148723;"sing";1
151228;"sing";2
152616;"sing";2
152921;"sing";8
153958;"sing";1
154077;"sing";1
155318;"sing";1
157028;"sing";2
157315;"sing";2
158995;"sing";3
159730;"sing";1
159821;"sing";4
165605;"sing";2
167748;"sing";2
167824;"sing";3
168087;"sing";1
168352;"sing";2
168360;"sing";1
168463;"sing";1
168559;"sing";5
168644;"sing";12
168753;"sing";2
168924;"sing";1
168929;"sing";19
168997;"sing";1
169081;"sing";1
169174;"sing";3
169176;"sing";2
169243;"sing";10
169443;"sing";4
169460;"sing";11
169491;"sing";2
169580;"sing";2
169637;"sing";5
169801;"sing";7
169854;"sing";4
169980;"sing";1
170019;"sing";15
170029;"sing";8
170039;"sing";2
170074;"sing";2
170088;"sing";22
170148;"sing";1
170248;"sing";1
170253;"sing";1
170264;"sing";10
170281;"sing";2
170326;"sing";10
170371;"sing";1
170441;"sing";3
170444;"sing";1
1980657;"sing";2
2051639;"sing";1
6097613;"sing";3
6239577;"sing";2
8262564;"sing";1
8901402;"sing";7
10250060;"sing";1
17383751;"sing";1
18696918;"sing";1
21358743;"sing";29
22281509;"sing";5
22529946;"sing";2
25653154;"sing";23
26895339;"sing";4
31118768;"sing";2
34064521;"sing";3
42937271;"sing";1
43824546;"sing";1
47799538;"sing";9
48296412;"sing";1
51490602;"sing";1
51632566;"sing";3
52058458;"sing";2
62634776;"sing";2
63309105;"sing";2
64196380;"sing";1
64480308;"sing";24
64693254;"sing";2
69129629;"sing";2
74169351;"sing";2
75624482;"sing";1
75872919;"sing";60
76156847;"sing";1
77292559;"sing";267
77895906;"sing";5
81445006;"sing";1
82083844;"sing";11
84106831;"sing";5
85916872;"sing";1
87549458;"sing";3
88188296;"sing";126
89040080;"sing";28
89820882;"sing";5
99013051;"sing";17
99864835;"sing";61
108737585;"sing";2
116794042;"sing";9
122508093;"sing";6
124034206;"sing";3
125418355;"sing";6
128364108;"sing";1
136030164;"sing";9
136278601;"sing";1
141921670;"sing";2
143092873;"sing";1
151007366;"sing";20
157289273;"sing";3
158212039;"sing";1
159880116;"sing";5
160057571;"sing";5
160341499;"sing";82
162967833;"sing";54
163074306;"sing";3
168149519;"sing";1
174076516;"sing";1
192851255;"sing";1
201085167;"sing";1
203463064;"sing";1
204101902;"sing";4
205166632;"sing";1
205237614;"sing";1
205982925;"sing";3
208609259;"sing";1
212903670;"sing";4
215565495;"sing";2
216559243;"sing";2
218724194;"sing";3
218759685;"sing";3
219043613;"sing";6
226035340;"sing";5
231004080;"sing";5
231820373;"sing";5
232246265;"sing";2
232672157;"sing";3
232707648;"sing";20
233062558;"sing";6
233240013;"sing";3
233523941;"sing";2
234659653;"sing";8
235759874;"sing";2
235830856;"sing";7
236008311;"sing";6
236931077;"sing";1
237747370;"sing";5
237995807;"sing";25
238066789;"sing";22
238208753;"sing";4
238244244;"sing";7
238705627;"sing";2
241544907;"sing";3
241899817;"sing";2
243106511;"sing";1
246975030;"sing";2
255705816;"sing";4
256770546;"sing";2
261242412;"sing";6
263584818;"sing";5
267204900;"sing";3
267240391;"sing";4
269369851;"sing";3
269653779;"sing";1
270044180;"sing";1
270399090;"sing";8
270789491;"sing";1
271002437;"sing";21
271854221;"sing";1
273699753;"sing";1
277106889;"sing";1
277355326;"sing";10
278065146;"sing";1
283459778;"sing";4
287079860;"sing";15
288960883;"sing";4
289102847;"sing";2
289138338;"sing";1
289457757;"sing";1
291906636;"sing";1
293894132;"sing";1
294107078;"sing";2
298436980;"sing";1
309900573;"sing";1
311426686;"sing";39
312846326;"sing";8
313059272;"sing";6
313662619;"sing";5
317602120;"sing";2
318844305;"sing";8
321470639;"sing";1
324345410;"sing";10
325268176;"sing";8
325445631;"sing";1
326723307;"sing";2
327752546;"sing";4
328071965;"sing";2
331585574;"sing";2
332153430;"sing";3
332721286;"sing";6
333466597;"sing";7
334921728;"sing";12
337086679;"sing";1
337938463;"sing";4
339287121;"sing";3
340564797;"sing";5
344539789;"sing";1
346314339;"sing";10
348053398;"sing";10
349260092;"sing";3
350821696;"sing";1
351460534;"sing";4
351850935;"sing";8
357848914;"sing";3
358949135;"sing";2
359410518;"sing";1
364059839;"sing";2
364237294;"sing";3
365869880;"sing";1
366295772;"sing";1
368425232;"sing";7
372648661;"sing";23
373393972;"sing";6
373606918;"sing";1
376943072;"sing";6
378043293;"sing";3
378824095;"sing";19
379569406;"sing";1
379995298;"sing";1
380598645;"sing";2
384076763;"sing";1
388158228;"sing";1
401076952;"sing";3
405335872;"sing";10
421448786;"sing";1
425849670;"sing";1
429398770;"sing";4
431102338;"sing";6
432983361;"sing";1
433125325;"sing";2
438732903;"sing";28
439123304;"sing";2
439762142;"sing";28
441465710;"sing";1
442246512;"sing";2
444943828;"sing";123
445440702;"sing";3
447179761;"sing";3
448244491;"sing";8
449202748;"sing";34
449593149;"sing";2
449628640;"sing";14
452645375;"sing";15
453390686;"sing";2
453639123;"sing";5
454313452;"sing";16
457259205;"sing";28
460062994;"sing";2
460737323;"sing";1
460914778;"sing";13
464818788;"sing";1
466664320;"sing";1
467374140;"sing";1
468616325;"sing";7
469397127;"sing";9
470390875;"sing";2
471313641;"sing";14
478589296;"sing";5
483806473;"sing";1
488917177;"sing";12
492856678;"sing";1
493105115;"sing";1
493424534;"sing";1
496725197;"sing";6
502936122;"sing";2
507478970;"sing";30
507833880;"sing";1
510531196;"sing";10
510815124;"sing";3
510850615;"sing";6
512802620;"sing";1
514115787;"sing";10
515535427;"sing";18
515854846;"sing";6
517097031;"sing";2
517274486;"sing";1
521036532;"sing";1
521320460;"sing";12
522704609;"sing";1
523485411;"sing";2
523627375;"sing";5
529305935;"sing";3
530441647;"sing";1
531151467;"sing";4
531435395;"sing";5
531470886;"sing";11
532784053;"sing";2
534274675;"sing";33
534913513;"sing";4
537717302;"sing";2
542402114;"sing";5
545880232;"sing";1
547086926;"sing";3
549429332;"sing";5
563235331;"sing";1
565826174;"sing";1
567636215;"sing";4
569943130;"sing";14
570049603;"sing";1
571398261;"sing";18
573208302;"sing";1
577857623;"sing";1
577893114;"sing";5
578248024;"sing";1
582293998;"sing";1
583074800;"sing";40
583394219;"sing";1
585168769;"sing";1
588114522;"sing";10
588824342;"sing";5
590456928;"sing";1
591912059;"sing";1
592905807;"sing";4
593580136;"sing";5
596064506;"sing";1
597519637;"sing";1
599258696;"sing";2
601991503;"sing";5
605682567;"sing";2
605895513;"sing";2
606463369;"sing";7
608521847;"sing";16
610544834;"sing";1
610580325;"sing";34
611290145;"sing";11
611716037;"sing";12
612035456;"sing";2
613774515;"sing";1
613845497;"sing";2
614910227;"sing";2
615052191;"sing";12
615584556;"sing";15
615655538;"sing";4
615762011;"sing";2
616294376;"sing";20
617004196;"sing";1
619488566;"sing";1
620269368;"sing";1
621298607;"sing";20
624847707;"sing";3
625664000;"sing";2
627083640;"sing";4
631555506;"sing";19
632052380;"sing";10
632549254;"sing";1
632762200;"sing";8
633968894;"sing";1
634288313;"sing";2
634749696;"sing";2
635424025;"sing";7
635636971;"sing";2
635991881;"sing";7
636311300;"sing";17
639576472;"sing";3
641067094;"sing";38
643764410;"sing";1
